LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1003618,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003618,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003618,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003619,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003619,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003619,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003619,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1003620,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1003620,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003620,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1003620,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007039,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007039,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007039,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007039,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007040,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007040,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007040,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007040,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007041,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007041,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007041,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007041,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007042,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007042,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007042,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007042,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007043,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007043,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007043,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007043,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007044,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007044,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007044,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007044,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007045,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007045,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007045,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007045,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007046,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007046,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007046,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007046,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007047,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007047,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007047,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007047,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007048,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007048,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007048,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007048,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007049,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007049,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007049,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007049,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007050,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007050,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007050,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007050,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007051,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007051,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007051,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007051,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007052,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
1007052,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1007052,IRVREG,North,22350,BBC,UK,GB,22350,UK,
1007052,NSCREG,North,22350,BBC,UK,GB,22350,UK,
1007053,BBCREG,NULL,22350,BBC,UK,GB,22350,UK,
