LOCATION,ASSETATTRID,ALNVALUE,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID,CLASSSTRUCTUREID,ORGID,SECTION
1003131,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003131,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003131,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003132,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003132,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003132,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003133,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003133,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003133,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003134,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003134,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003134,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003135,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003135,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003135,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003136,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003136,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003136,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003137,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003137,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003137,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003138,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003138,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003138,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003139,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003139,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003139,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003140,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003140,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003140,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003141,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003141,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003141,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003142,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003142,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003142,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003143,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003143,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003143,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003144,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003144,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003144,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003145,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003145,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003145,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003146,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003146,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003146,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003147,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003147,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003147,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003148,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003148,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003148,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003149,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003149,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003149,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003150,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003150,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003150,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003151,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003151,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003151,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003152,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003152,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003152,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003153,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003153,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003153,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003154,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003154,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003154,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003155,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003155,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003155,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003156,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003156,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003156,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003157,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003157,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003157,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003158,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003158,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003158,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003159,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003159,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003159,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003160,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003160,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003160,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003161,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003161,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003161,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003162,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003162,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003162,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003163,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003163,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003163,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003164,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003164,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003164,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003165,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003165,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003165,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003166,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003166,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003166,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003167,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003167,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003167,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003168,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003168,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003168,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003169,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003169,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003169,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003170,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003170,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003170,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003171,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003171,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003171,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003172,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003172,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003172,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003173,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003173,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003173,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003174,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003174,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003174,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
1003175,I25/O25,O25,22350,BBC,UK,GB,22350,UK,
1003175,IRVREG,South & Wales,22350,BBC,UK,GB,22350,UK,
1003175,NSCREG,Mids/Cardiff,22350,BBC,UK,GB,22350,UK,
