LOCATION,CLASSSTRUCTUREID,PLUSPCUSTOMER,ORGID,SITEID
1000698,22350,BBC,UK,GB
1000699,22350,BBC,UK,GB
1000700,22350,BBC,UK,GB
1000701,22350,BBC,UK,GB
1000702,22350,BBC,UK,GB
1000703,22350,BBC,UK,GB
1000704,22350,BBC,UK,GB
1000705,22350,BBC,UK,GB
1000706,22350,BBC,UK,GB
1000707,22350,BBC,UK,GB
1000708,22350,BBC,UK,GB
1000709,22350,BBC,UK,GB
1000710,22350,BBC,UK,GB
1000711,22350,BBC,UK,GB
1000712,22350,BBC,UK,GB
1000713,22350,BBC,UK,GB
1000714,22350,BBC,UK,GB
1000715,22350,BBC,UK,GB
1000716,22350,BBC,UK,GB
1000717,22350,BBC,UK,GB
1000718,22350,BBC,UK,GB
1000719,22350,BBC,UK,GB
1000720,22350,BBC,UK,GB
1000721,22350,BBC,UK,GB
1000722,22350,BBC,UK,GB
1000723,22350,BBC,UK,GB
1000724,22350,BBC,UK,GB
1000725,22350,BBC,UK,GB
1000726,22350,BBC,UK,GB
1000727,22350,BBC,UK,GB
1000728,22350,BBC,UK,GB
1000729,22350,BBC,UK,GB
1000730,22350,BBC,UK,GB
1000731,22350,BBC,UK,GB
1000732,22350,BBC,UK,GB
1000733,22350,BBC,UK,GB
1000734,22350,BBC,UK,GB
1000735,22350,BBC,UK,GB
1000736,22350,BBC,UK,GB
1000737,22350,BBC,UK,GB
1000738,22350,BBC,UK,GB
1000739,22350,BBC,UK,GB
1000740,22350,BBC,UK,GB
1000741,22350,BBC,UK,GB
1000742,22350,BBC,UK,GB
1000743,22350,BBC,UK,GB
1000744,22350,BBC,UK,GB
1000745,22350,BBC,UK,GB
1000746,22350,BBC,UK,GB
1000747,22350,BBC,UK,GB
1000748,22350,BBC,UK,GB
1000749,22350,BBC,UK,GB
1000750,22350,BBC,UK,GB
1000751,22350,BBC,UK,GB
1000752,22350,BBC,UK,GB
1000753,22350,BBC,UK,GB
1000754,22350,BBC,UK,GB
1000755,22350,BBC,UK,GB
1000756,22350,BBC,UK,GB
1000757,22350,BBC,UK,GB
1000758,22350,BBC,UK,GB
1000759,22350,BBC,UK,GB
1000760,22350,BBC,UK,GB
1000761,22350,BBC,UK,GB
1000762,22350,BBC,UK,GB
1000763,22350,BBC,UK,GB
1000764,22350,BBC,UK,GB
1000765,22350,BBC,UK,GB
1000766,22350,BBC,UK,GB
1000767,22350,BBC,UK,GB
1000768,22350,BBC,UK,GB
1000769,22350,BBC,UK,GB
1000770,22350,BBC,UK,GB
1000771,22350,BBC,UK,GB
1000772,22350,BBC,UK,GB
1000773,22350,BBC,UK,GB
1000774,22350,BBC,UK,GB
1000775,22350,BBC,UK,GB
1000776,22350,BBC,UK,GB
1000777,22350,BBC,UK,GB
1000778,22350,BBC,UK,GB
1000779,22350,BBC,UK,GB
1000780,22350,BBC,UK,GB
1000781,22350,BBC,UK,GB
