DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC138967,1,BBCLTG03,UK,GB
BBC138968,1,BBCLPS01,UK,GB
BBC138968,12,BBCLPS02,UK,GB
BBC138970,1,BBCLVS01,UK,GB
BBC138970,4,BBCLVS02,UK,GB
BBC138970,20,BBCLVS03,UK,GB
BBC138973,1,BBCLVS01,UK,GB
BBC138973,4,BBCLVS02,UK,GB
BBC138973,20,BBCLVS03,UK,GB
BBC138976,1,BBCLVS01,UK,GB
BBC138976,4,BBCLVS02,UK,GB
BBC138976,20,BBCLVS03,UK,GB
BBC138979,1,BBCLVS01,UK,GB
BBC138979,4,BBCLVS02,UK,GB
BBC138979,20,BBCLVS03,UK,GB
BBC138982,1,BBCIBC01,UK,GB
BBC138982,5,BBCIBC02,UK,GB
BBC138984,1,BBCIBC01,UK,GB
BBC138984,5,BBCIBC02,UK,GB
BBC138986,1,BBCRAD01,UK,GB
BBC138987,1,BBCRAD01,UK,GB
BBC138988,1,BBCRAD01,UK,GB
BBC138989,1,BBCRAD01,UK,GB
BBC138990,1,BBCAHU13,UK,GB
BBC138990,2,BBCAHU14,UK,GB
BBC138992,1,BBCAHU13,UK,GB
BBC138992,2,BBCAHU14,UK,GB
BBC138994,1,BBCFAH01,UK,GB
BBC138994,2,BBCFAH02,UK,GB
BBC138996,1,BBCPHE01,UK,GB
BBC138996,2,BBCPHE02,UK,GB
BBC138998,1,BBCPHE01,UK,GB
BBC138998,2,BBCPHE02,UK,GB
BBC139000,1,BBCPVL01,UK,GB
BBC139000,2,BBCPVL02,UK,GB
BBC139000,4,BBCPVL03,UK,GB
BBC139003,1,BBCPVL01,UK,GB
BBC139003,2,BBCPVL02,UK,GB
BBC139003,4,BBCPVL03,UK,GB
BBC139006,1,BBCPVL01,UK,GB
BBC139006,2,BBCPVL02,UK,GB
BBC139006,4,BBCPVL03,UK,GB
BBC139009,1,BBCPVL01,UK,GB
BBC139009,2,BBCPVL02,UK,GB
BBC139009,4,BBCPVL03,UK,GB
BBC139012,1,BBCPVL01,UK,GB
BBC139012,2,BBCPVL02,UK,GB
BBC139012,4,BBCPVL03,UK,GB
BBC139015,1,BBCPVL01,UK,GB
BBC139015,2,BBCPVL02,UK,GB
BBC139015,4,BBCPVL03,UK,GB
BBC139018,1,BBCPVL01,UK,GB
BBC139018,2,BBCPVL02,UK,GB
BBC139018,4,BBCPVL03,UK,GB
BBC139021,1,BBCPPU01,UK,GB
BBC139021,2,BBCPPU02,UK,GB
BBC139021,4,BBCPPU03,UK,GB
BBC139021,8,BBCPPU04,UK,GB
BBC139025,1,BBCPPU01,UK,GB
BBC139025,2,BBCPPU02,UK,GB
BBC139025,4,BBCPPU03,UK,GB
BBC139025,8,BBCPPU04,UK,GB
BBC139029,1,BBCPMP01,UK,GB
BBC139029,6,BBCPMP02,UK,GB
BBC139029,12,BBCPMP03,UK,GB
BBC139032,1,BBCPMP01,UK,GB
