DATALOAD,IRV_PMSEQ,,EN
PMNUM,INTERVAL,JPNUM,ORGID,SITEID
BBC200133,1,BBCIBC01,UK,GB
BBC200133,5,BBCIBC01,UK,GB
BBC200134,1,BBCIBC01,UK,GB
BBC200134,5,BBCIBC01,UK,GB
BBC200135,1,BBCRAD01,UK,GB
BBC200136,1,BBCRAD01,UK,GB
BBC200137,1,BBCRAD01,UK,GB
BBC200138,1,BBCRAD01,UK,GB
BBC200139,1,BBCRAD01,UK,GB
BBC200140,1,BBCRAD01,UK,GB
BBC200141,1,BBCRAD01,UK,GB
BBC200142,1,BBCPDB01,UK,GB
BBC200142,2,BBCPDB02,UK,GB
BBC200142,4,BBCPDB03,UK,GB
BBC200142,20,BBCPDB04,UK,GB
BBC200143,1,BBCPPU01,UK,GB
BBC200143,2,BBCPPU02,UK,GB
BBC200143,4,BBCPPU03,UK,GB
BBC200143,8,BBCPPU04,UK,GB
BBC200144,1,BBCPPU01,UK,GB
BBC200144,2,BBCPPU02,UK,GB
BBC200144,4,BBCPPU03,UK,GB
BBC200144,8,BBCPPU04,UK,GB
BBC200145,1,BBCPMP01,UK,GB
BBC200145,2,BBCPMP02,UK,GB
BBC200145,4,BBCPMP03,UK,GB
BBC200146,1,BBCPMP01,UK,GB
BBC200146,2,BBCPMP02,UK,GB
BBC200146,4,BBCPMP03,UK,GB
BBC200147,1,BBCPMP01,UK,GB
BBC200147,2,BBCPMP02,UK,GB
BBC200147,4,BBCPMP03,UK,GB
BBC200148,1,BBCPMP01,UK,GB
BBC200148,2,BBCPMP02,UK,GB
BBC200148,4,BBCPMP03,UK,GB
BBC200149,1,BBCSCH01,UK,GB
BBC200149,6,BBCSCH02,UK,GB
BBC200149,12,BBCSCH03,UK,GB
BBC200150,1,BBCSHC01,UK,GB
BBC200150,2,BBCSHC02,UK,GB
BBC200151,1,BBCACU01,UK,GB
BBC200151,2,BBCACU02,UK,GB
BBC200152,1,BBCACU01,UK,GB
BBC200152,2,BBCACU02,UK,GB
BBC200153,1,BBCCWS01,UK,GB
BBC200153,2,BBCCWS02,UK,GB
BBC200153,4,BBCCWS03,UK,GB
BBC200153,20,BBCCWS04,UK,GB
BBC200154,1,BBCCWS03,UK,GB
BBC200154,1,BBCSYW01,UK,GB
BBC200155,4,BBCSYW02,UK,GB
BBC200155,1,BBCSYW01,UK,GB
BBC200156,4,BBCSYW02,UK,GB
BBC200156,1,BBCSYW01,UK,GB
BBC200157,4,BBCSYW02,UK,GB
BBC200157,1,BBCSYW01,UK,GB
BBC200158,4,BBCSYW02,UK,GB
BBC200158,1,BBCSYW01,UK,GB
BBC200159,4,BBCSYW02,UK,GB
BBC200159,1,BBCSYW01,UK,GB
BBC200160,4,BBCSYW02,UK,GB
BBC200160,1,BBCSEB01,UK,GB
BBC200161,4,BBCSEB02,UK,GB
BBC200161,1,BBCSEB01,UK,GB
BBC200162,1,BBCSEB01,UK,GB
BBC200162,4,BBCSEB02,UK,GB
BBC200163,1,BBCCWL01,UK,GB
BBC200163,52,BBCCWL02,UK,GB
BBC200164,1,BBCFAS05,UK,GB
BBC200165,1,BBCFCA01,UK,GB
BBC200166,1,BBCHWL01,UK,GB
BBC200166,4,BBCHWL02,UK,GB
BBC200167,1,BBCINS01,UK,GB
BBC200168,1,BBCPAT01,UK,GB
BBC200169,1,BBCSHE01,UK,GB
