DATALOAD,IRV_ASSET,,EN
ASSETID,LOCATION,ASSETNUM,SADDRESSCODE,DESCRIPTION,DESCRIPTION_LONGDESCRIPTION,HASLD,ISRUNNING,INSTALLDATE,ASSETTYPE,MANUFACTURER,IRV_MODEL,IRV_LEGASSETREF,SERIALNUM,IRV_ASSETCOND,IRV_CRITICALITY,IRV_EXPECTLIFE,IRV_LEGBARCODE,IRV_LEGCOND,IRV_REPLACEQTY,IRV_SIZECAP,IRV_SURVEYDATE,IRV_UOM,PLUSPCUSTOMER,LANGCODE,CHANGEBY,ORGID,SITEID,STATUS,STATUSDATE,CHANGEDATE,ASSETUID
,1006580,2014-63710,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,2010,FACILITIES,DENCO,HIGH LEVEL,,HIGH LEVEL,5,2,15,2014-63710,,1,High Level,2014-04-22T10:23:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006580,2014-63711,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,2010,FACILITIES,DENCO,HIGH LEVEL,,HIGH LEVEL,5,2,15,2014-63711,,1,High Level,2014-04-22T10:25:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006580,2014-63712,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,2010,FACILITIES,DENCO,HIGH LEVEL,,HIGH LEVEL,5,2,15,2014-63712,,1,High Level,2014-04-22T10:26:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006580,2014-63713,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB 1,1,1,1995,FACILITIES,SQUARE D,QO310018,,,4,2,20,2014-63713,,1,18,2014-04-22T10:26:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006580,2014-63714,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB 2,1,1,2005,FACILITIES,MEM,BM121,,,5,2,20,2014-63714,,1,36,2014-04-22T10:28:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006580,2014-63715,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB UPS,1,1,2005,FACILITIES,MEM,BM81,,,5,2,20,2014-63715,,1,24,2014-04-22T10:28:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006580,2014-63716,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,NO IA,1,1,2005,FACILITIES,MEM,AM7,,,5,2,20,2014-63716,,1,7,2014-04-22T10:30:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006581,2014-63726,BBCADD009,DOWNFLOW UNIT (CHILLED WATER),N/A,1,1,1995,FACILITIES,DELTACLIMA,NOT PRESENT,,NOT PRESENT,0,1,15,2014-63726,,1,Not Present,2014-04-22T11:02:00+00:00,kW,BBC,,,,GB,OPERATING,,,
,1006581,2014-63727,BBCADD009,ELECTRICAL CONTROLS,AHU CONTROL,1,1,1990,FACILITIES,CCS,NOT PRESENT,,,4,2,10,2014-63727,,1,,2014-04-22T11:09:00+00:00,,BBC,,,,GB,OPERATING,,,
,1006581,2014-63728,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB TP/2,1,1,2005,FACILITIES,EATON MEM,EBM121,,,5,1,20,2014-63728,,1,36,2014-04-22T11:07:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006581,2014-63735,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB CTA/R,1,1,1995,FACILITIES,SQUARE D,QO3-100-36,,,4,1,20,2014-63735,,1,36,2014-04-22T11:25:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006581,2014-63736,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB CTA/Y,1,1,1995,FACILITIES,SQUARE D,QO3-100-36,,,4,1,20,2014-63736,,1,36,2014-04-22T11:27:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
,1006581,2014-63737,BBCADD009,DISTRIBUTION BOARDS INC LV FUSEBOARD,DB CTA/B,1,1,1995,FACILITIES,SQUARE D,QO3-100-36,,,4,1,20,2014-63737,,1,36,2014-04-22T11:27:00+00:00,Ways,BBC,,,,GB,OPERATING,,,
