DATALOAD,IRV_LOCATIONS,Delete,EN
LOCATION,DESCRIPTION,PARENT,DESCRIPTION_LONGDESCRIPTION,IRV_ALSOKAS,IRVLOCLEVEL,GLACCOUNT,SADDRESSCODE,IRV_LOCCRITICAL,IRV_CUSTPRIORITY,PLUSPCOSTCENTER,CHILDREN,CALNUM,SHIFTNUM,DISABLED,HASCHILDREN,HASLD,HASPARENT,SITEID,STATUS,SYSTEMID,TYPE,USEINPOPR,IRV_ASBESTOSPRES,IRV_DESIGNTATEDOW,ISDEFAULT,ISREPAIRFACILITY,LANGCODE,ORGID,PLUSCLOOP,PLUSCPMEXTDATE,PLUSPCUSTOMER,AUTOWOGEN,BILLTOADDRESSCODE,BILLTOLABORCODE,CLASSSTRUCTUREID,SHIPTOADDRESSCODE,SHIPTOLABORCODE
1006609,Millbank-6th Floor-Kitchen Tea Point,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006610,Millbank-6th Floor-Service Riser Apps Room ,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006611,Millbank-6th Floor-Service Riser Electric,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006612,Millbank-6th Floor-Toilet Core 4 Gents,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006613,Millbank-6th Floor-Toilet Core 4 Ladies,1006574,,,ROOM,BBC009C,BBCADD009,0,3,BLD-2202-W303,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006614,Millbank-Basement-Abington Green Aperatus Room,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006615,Millbank-Basement-Abington Green Aperatus Room Electric Cupboard,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006616,Millbank-Basement-Comms Room,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006617,Millbank-Basement-Landlords Switch Room,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006618,Millbank-Basement-Pump Room,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006619,Millbank-Basement-Wind Tunnel,1006571,,,ROOM,BBC009A,BBCADD009,0,3,BLD-2202-W301,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006620,Millbank-Ground Floor-Stationary Cupboard,1006572,,,ROOM,BBC009D,BBCADD009,0,3,BLD-2202-W304,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
1006621,Millbank-Ground Floor-External Area Abington Green Electric Box,1006572,,,ROOM,BBC009D,BBCADD009,0,3,BLD-2202-W304,0,24HM-S,24HR M-S,0,0,0,1,GB,OPERATING,PRIMARY,OPERATING,0,0,,0,0,EN,UK,0,0,BBC,,,,,,
